Type,Path,Relative Path,Size,Created,Modified
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/metadata/importlib,.venv/Lib/site-packages/pip/_internal/metadata/importlib,,2025-06-13T15:35:13.920546,2025-06-12T21:51:23.148528
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/metadata/pkg_resources.py,.venv/Lib/site-packages/pip/_internal/metadata/pkg_resources.py,220,2025-06-13T15:35:14.050281,2025-06-12T21:51:23.187580
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/metadata/_json.py,.venv/Lib/site-packages/pip/_internal/metadata/_json.py,196,2025-06-13T15:35:14.064619,2025-06-12T21:51:23.296791
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/metadata/__init__.py,.venv/Lib/site-packages/pip/_internal/metadata/__init__.py,202,2025-06-13T15:35:14.077619,2025-06-12T21:51:23.500788
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/metadata/importlib/_compat.py,.venv/Lib/site-packages/pip/_internal/metadata/importlib/_compat.py,202,2025-06-13T15:35:13.933200,2025-06-12T21:51:22.598977
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/metadata/importlib/_dists.py,.venv/Lib/site-packages/pip/_internal/metadata/importlib/_dists.py,199,2025-06-13T15:35:13.943205,2025-06-12T21:51:22.745916
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/metadata/importlib/_envs.py,.venv/Lib/site-packages/pip/_internal/metadata/importlib/_envs.py,196,2025-06-13T15:35:13.954857,2025-06-12T21:51:22.969717
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/metadata/importlib/__init__.py,.venv/Lib/site-packages/pip/_internal/metadata/importlib/__init__.py,202,2025-06-13T15:35:13.967043,2025-06-12T21:51:23.127263
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/models/candidate.py,.venv/Lib/site-packages/pip/_internal/models/candidate.py,209,2025-06-13T15:35:14.191579,2025-06-12T21:51:23.636789
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/models/direct_url.py,.venv/Lib/site-packages/pip/_internal/models/direct_url.py,211,2025-06-13T15:35:14.238565,2025-06-12T21:51:23.929129
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/models/format_control.py,.venv/Lib/site-packages/pip/_internal/models/format_control.py,223,2025-06-13T15:35:14.250330,2025-06-12T21:51:24.898910
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/models/index.py,.venv/Lib/site-packages/pip/_internal/models/index.py,197,2025-06-13T15:35:14.261681,2025-06-12T21:51:25.403404
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/models/installation_report.py,.venv/Lib/site-packages/pip/_internal/models/installation_report.py,238,2025-06-13T15:35:14.268836,2025-06-12T21:51:25.666673
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/models/link.py,.venv/Lib/site-packages/pip/_internal/models/link.py,194,2025-06-13T15:35:14.278345,2025-06-12T21:51:25.896473
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/models/scheme.py,.venv/Lib/site-packages/pip/_internal/models/scheme.py,200,2025-06-13T15:35:14.291646,2025-06-12T21:51:26.091358
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/models/search_scope.py,.venv/Lib/site-packages/pip/_internal/models/search_scope.py,217,2025-06-13T15:35:14.299512,2025-06-12T21:51:26.223130
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/models/selection_prefs.py,.venv/Lib/site-packages/pip/_internal/models/selection_prefs.py,226,2025-06-13T15:35:14.308515,2025-06-12T21:51:26.333144
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/models/target_python.py,.venv/Lib/site-packages/pip/_internal/models/target_python.py,220,2025-06-13T15:35:14.317956,2025-06-12T21:51:26.503059
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/models/wheel.py,.venv/Lib/site-packages/pip/_internal/models/wheel.py,197,2025-06-13T15:35:14.333019,2025-06-12T21:51:26.739172
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/models/__init__.py,.venv/Lib/site-packages/pip/_internal/models/__init__.py,202,2025-06-13T15:35:14.356240,2025-06-12T21:51:26.914126
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/network/auth.py,.venv/Lib/site-packages/pip/_internal/network/auth.py,194,2025-06-13T15:35:14.509820,2025-06-12T21:51:27.054579
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/network/cache.py,.venv/Lib/site-packages/pip/_internal/network/cache.py,197,2025-06-13T15:35:14.520009,2025-06-12T21:51:27.440884
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/network/download.py,.venv/Lib/site-packages/pip/_internal/network/download.py,206,2025-06-13T15:35:14.525008,2025-06-12T21:51:27.704892
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/network/lazy_wheel.py,.venv/Lib/site-packages/pip/_internal/network/lazy_wheel.py,211,2025-06-13T15:35:14.533675,2025-06-12T21:51:27.871088
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/network/session.py,.venv/Lib/site-packages/pip/_internal/network/session.py,203,2025-06-13T15:35:14.538656,2025-06-12T21:51:28.065188
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/network/utils.py,.venv/Lib/site-packages/pip/_internal/network/utils.py,197,2025-06-13T15:35:14.542652,2025-06-12T21:51:28.175370
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/network/xmlrpc.py,.venv/Lib/site-packages/pip/_internal/network/xmlrpc.py,200,2025-06-13T15:35:14.549320,2025-06-12T21:51:28.355624
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/network/__init__.py,.venv/Lib/site-packages/pip/_internal/network/__init__.py,202,2025-06-13T15:35:14.554335,2025-06-12T21:51:28.616610
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/operations/build,.venv/Lib/site-packages/pip/_internal/operations/build,,2025-06-13T15:35:14.626968,2025-06-12T21:51:29.390882
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/operations/check.py,.venv/Lib/site-packages/pip/_internal/operations/check.py,197,2025-06-13T15:35:14.715586,2025-06-12T21:51:29.595100
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/operations/freeze.py,.venv/Lib/site-packages/pip/_internal/operations/freeze.py,200,2025-06-13T15:35:14.718581,2025-06-12T21:51:30.000916
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/operations/install,.venv/Lib/site-packages/pip/_internal/operations/install,,2025-06-13T15:35:14.722584,2025-06-12T21:51:30.597097
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/operations/prepare.py,.venv/Lib/site-packages/pip/_internal/operations/prepare.py,203,2025-06-13T15:35:14.766330,2025-06-12T21:51:30.696739
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/operations/__init__.py,.venv/Lib/site-packages/pip/_internal/operations/__init__.py,202,2025-06-13T15:35:14.769327,2025-06-12T21:51:30.895205
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/operations/build/build_tracker.py,.venv/Lib/site-packages/pip/_internal/operations/build/build_tracker.py,220,2025-06-13T15:35:14.635554,2025-06-12T21:51:28.684355
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/operations/build/metadata.py,.venv/Lib/site-packages/pip/_internal/operations/build/metadata.py,206,2025-06-13T15:35:14.639248,2025-06-12T21:51:28.742288
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/operations/build/metadata_editable.py,.venv/Lib/site-packages/pip/_internal/operations/build/metadata_editable.py,232,2025-06-13T15:35:14.643251,2025-06-12T21:51:28.806403
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/operations/build/metadata_legacy.py,.venv/Lib/site-packages/pip/_internal/operations/build/metadata_legacy.py,226,2025-06-13T15:35:14.649024,2025-06-12T21:51:28.876148
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/operations/build/wheel.py,.venv/Lib/site-packages/pip/_internal/operations/build/wheel.py,197,2025-06-13T15:35:14.652098,2025-06-12T21:51:29.069488
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/operations/build/wheel_editable.py,.venv/Lib/site-packages/pip/_internal/operations/build/wheel_editable.py,223,2025-06-13T15:35:14.655101,2025-06-12T21:51:29.159682
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/operations/build/wheel_legacy.py,.venv/Lib/site-packages/pip/_internal/operations/build/wheel_legacy.py,217,2025-06-13T15:35:14.659101,2025-06-12T21:51:29.226695
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/operations/build/__init__.py,.venv/Lib/site-packages/pip/_internal/operations/build/__init__.py,202,2025-06-13T15:35:14.664611,2025-06-12T21:51:29.338548
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/operations/install/editable_legacy.py,.venv/Lib/site-packages/pip/_internal/operations/install/editable_legacy.py,226,2025-06-13T15:35:14.730447,2025-06-12T21:51:30.238140
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/operations/install/wheel.py,.venv/Lib/site-packages/pip/_internal/operations/install/wheel.py,197,2025-06-13T15:35:14.734446,2025-06-12T21:51:30.390240
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/operations/install/__init__.py,.venv/Lib/site-packages/pip/_internal/operations/install/__init__.py,202,2025-06-13T15:35:14.738446,2025-06-12T21:51:30.558108
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/req/constructors.py,.venv/Lib/site-packages/pip/_internal/req/constructors.py,218,2025-06-13T15:35:14.810006,2025-06-12T21:51:31.292221
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/req/req_file.py,.venv/Lib/site-packages/pip/_internal/req/req_file.py,205,2025-06-13T15:35:14.814722,2025-06-12T21:51:31.577685
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/req/req_install.py,.venv/Lib/site-packages/pip/_internal/req/req_install.py,214,2025-06-13T15:35:14.819139,2025-06-12T21:51:31.747353
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/req/req_set.py,.venv/Lib/site-packages/pip/_internal/req/req_set.py,202,2025-06-13T15:35:14.822788,2025-06-12T21:51:31.813378
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/req/req_uninstall.py,.venv/Lib/site-packages/pip/_internal/req/req_uninstall.py,220,2025-06-13T15:35:14.825789,2025-06-12T21:51:31.926633
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/req/__init__.py,.venv/Lib/site-packages/pip/_internal/req/__init__.py,202,2025-06-13T15:35:14.831215,2025-06-12T21:51:32.012454
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/resolution/base.py,.venv/Lib/site-packages/pip/_internal/resolution/base.py,194,2025-06-13T15:35:14.873220,2025-06-12T21:51:32.310749
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/resolution/legacy,.venv/Lib/site-packages/pip/_internal/resolution/legacy,,2025-06-13T15:35:14.876216,2025-06-12T21:51:32.522787
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/resolution/resolvelib,.venv/Lib/site-packages/pip/_internal/resolution/resolvelib,,2025-06-13T15:35:14.909499,2025-06-12T21:51:33.249624
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/resolution/__init__.py,.venv/Lib/site-packages/pip/_internal/resolution/__init__.py,202,2025-06-13T15:35:15.003324,2025-06-12T21:51:33.281243
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/resolution/legacy/resolver.py,.venv/Lib/site-packages/pip/_internal/resolution/legacy/resolver.py,206,2025-06-13T15:35:14.886511,2025-06-12T21:51:32.382444
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/resolution/legacy/__init__.py,.venv/Lib/site-packages/pip/_internal/resolution/legacy/__init__.py,202,2025-06-13T15:35:14.889512,2025-06-12T21:51:32.494116
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/resolution/resolvelib/base.py,.venv/Lib/site-packages/pip/_internal/resolution/resolvelib/base.py,194,2025-06-13T15:35:14.919575,2025-06-12T21:51:32.564030
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/resolution/resolvelib/candidates.py,.venv/Lib/site-packages/pip/_internal/resolution/resolvelib/candidates.py,212,2025-06-13T15:35:14.922574,2025-06-12T21:51:32.632684
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/resolution/resolvelib/factory.py,.venv/Lib/site-packages/pip/_internal/resolution/resolvelib/factory.py,203,2025-06-13T15:35:14.926576,2025-06-12T21:51:32.748342
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/resolution/resolvelib/found_candidates.py,.venv/Lib/site-packages/pip/_internal/resolution/resolvelib/found_candidates.py,229,2025-06-13T15:35:14.931388,2025-06-12T21:51:32.845508
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/resolution/resolvelib/provider.py,.venv/Lib/site-packages/pip/_internal/resolution/resolvelib/provider.py,206,2025-06-13T15:35:14.934659,2025-06-12T21:51:32.989849
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/resolution/resolvelib/reporter.py,.venv/Lib/site-packages/pip/_internal/resolution/resolvelib/reporter.py,206,2025-06-13T15:35:14.938384,2025-06-12T21:51:33.074270
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/resolution/resolvelib/requirements.py,.venv/Lib/site-packages/pip/_internal/resolution/resolvelib/requirements.py,218,2025-06-13T15:35:14.941252,2025-06-12T21:51:33.122502
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/resolution/resolvelib/resolver.py,.venv/Lib/site-packages/pip/_internal/resolution/resolvelib/resolver.py,206,2025-06-13T15:35:14.949475,2025-06-12T21:51:33.186251
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/resolution/resolvelib/__init__.py,.venv/Lib/site-packages/pip/_internal/resolution/resolvelib/__init__.py,202,2025-06-13T15:35:14.952476,2025-06-12T21:51:33.233110
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/utils/appdirs.py,.venv/Lib/site-packages/pip/_internal/utils/appdirs.py,203,2025-06-13T15:35:15.054920,2025-06-12T21:51:33.365923
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/utils/compat.py,.venv/Lib/site-packages/pip/_internal/utils/compat.py,200,2025-06-13T15:35:15.060918,2025-06-12T21:51:33.407320
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/utils/compatibility_tags.py,.venv/Lib/site-packages/pip/_internal/utils/compatibility_tags.py,235,2025-06-13T15:35:15.069063,2025-06-12T21:51:33.442194
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/utils/datetime.py,.venv/Lib/site-packages/pip/_internal/utils/datetime.py,206,2025-06-13T15:35:15.076064,2025-06-12T21:51:33.476554
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/utils/deprecation.py,.venv/Lib/site-packages/pip/_internal/utils/deprecation.py,215,2025-06-13T15:35:15.084260,2025-06-12T21:51:33.528026
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/utils/direct_url_helpers.py,.venv/Lib/site-packages/pip/_internal/utils/direct_url_helpers.py,234,2025-06-13T15:35:15.091259,2025-06-12T21:51:33.565907
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/utils/egg_link.py,.venv/Lib/site-packages/pip/_internal/utils/egg_link.py,205,2025-06-13T15:35:15.101862,2025-06-12T21:51:33.706088
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/utils/entrypoints.py,.venv/Lib/site-packages/pip/_internal/utils/entrypoints.py,215,2025-06-13T15:35:15.107867,2025-06-12T21:51:33.962322
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/utils/filesystem.py,.venv/Lib/site-packages/pip/_internal/utils/filesystem.py,212,2025-06-13T15:35:15.117740,2025-06-12T21:51:34.064539
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/utils/filetypes.py,.venv/Lib/site-packages/pip/_internal/utils/filetypes.py,209,2025-06-13T15:35:15.125738,2025-06-12T21:51:34.161502
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/utils/glibc.py,.venv/Lib/site-packages/pip/_internal/utils/glibc.py,197,2025-06-13T15:35:15.134657,2025-06-12T21:51:34.330607
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/utils/hashes.py,.venv/Lib/site-packages/pip/_internal/utils/hashes.py,200,2025-06-13T15:35:15.141659,2025-06-12T21:51:34.383610
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/utils/logging.py,.venv/Lib/site-packages/pip/_internal/utils/logging.py,203,2025-06-13T15:35:15.151888,2025-06-12T21:51:34.566517
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/utils/misc.py,.venv/Lib/site-packages/pip/_internal/utils/misc.py,194,2025-06-13T15:35:15.157892,2025-06-12T21:51:34.646378
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/utils/packaging.py,.venv/Lib/site-packages/pip/_internal/utils/packaging.py,209,2025-06-13T15:35:15.167878,2025-06-12T21:51:34.699357
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/utils/retry.py,.venv/Lib/site-packages/pip/_internal/utils/retry.py,197,2025-06-13T15:35:15.173882,2025-06-12T21:51:34.750196
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/utils/setuptools_build.py,.venv/Lib/site-packages/pip/_internal/utils/setuptools_build.py,229,2025-06-13T15:35:15.184945,2025-06-12T21:51:34.800829
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/utils/subprocess.py,.venv/Lib/site-packages/pip/_internal/utils/subprocess.py,212,2025-06-13T15:35:15.188942,2025-06-12T21:51:34.846527
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/utils/temp_dir.py,.venv/Lib/site-packages/pip/_internal/utils/temp_dir.py,205,2025-06-13T15:35:15.192937,2025-06-12T21:51:34.922077
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/utils/unpacking.py,.venv/Lib/site-packages/pip/_internal/utils/unpacking.py,209,2025-06-13T15:35:15.196960,2025-06-12T21:51:34.964781
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/utils/urls.py,.venv/Lib/site-packages/pip/_internal/utils/urls.py,194,2025-06-13T15:35:15.200957,2025-06-12T21:51:35.009810
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/utils/virtualenv.py,.venv/Lib/site-packages/pip/_internal/utils/virtualenv.py,212,2025-06-13T15:35:15.204956,2025-06-12T21:51:35.054277
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/utils/wheel.py,.venv/Lib/site-packages/pip/_internal/utils/wheel.py,197,2025-06-13T15:35:15.208498,2025-06-12T21:51:35.298071
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/utils/_jaraco_text.py,.venv/Lib/site-packages/pip/_internal/utils/_jaraco_text.py,216,2025-06-13T15:35:15.213658,2025-06-12T21:51:35.366695
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/utils/_log.py,.venv/Lib/site-packages/pip/_internal/utils/_log.py,193,2025-06-13T15:35:15.217648,2025-06-12T21:51:35.445149
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/utils/__init__.py,.venv/Lib/site-packages/pip/_internal/utils/__init__.py,202,2025-06-13T15:35:15.221650,2025-06-12T21:51:35.543385
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/vcs/bazaar.py,.venv/Lib/site-packages/pip/_internal/vcs/bazaar.py,200,2025-06-13T15:35:15.416628,2025-06-12T21:51:35.615588
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/vcs/git.py,.venv/Lib/site-packages/pip/_internal/vcs/git.py,191,2025-06-13T15:35:15.424629,2025-06-12T21:51:35.710102
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/vcs/mercurial.py,.venv/Lib/site-packages/pip/_internal/vcs/mercurial.py,209,2025-06-13T15:35:15.432113,2025-06-12T21:51:35.782959
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/vcs/subversion.py,.venv/Lib/site-packages/pip/_internal/vcs/subversion.py,212,2025-06-13T15:35:15.437219,2025-06-12T21:51:35.868518
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/vcs/versioncontrol.py,.venv/Lib/site-packages/pip/_internal/vcs/versioncontrol.py,224,2025-06-13T15:35:15.442221,2025-06-12T21:51:35.963876
file,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_internal/vcs/__init__.py,.venv/Lib/site-packages/pip/_internal/vcs/__init__.py,202,2025-06-13T15:35:15.450901,2025-06-12T21:51:36.034003
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_vendor/cachecontrol,.venv/Lib/site-packages/pip/_vendor/cachecontrol,,2025-06-13T15:35:15.591807,2025-06-12T21:51:36.733806
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_vendor/certifi,.venv/Lib/site-packages/pip/_vendor/certifi,,2025-06-13T15:35:15.769756,2025-06-12T21:51:36.961221
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_vendor/distlib,.venv/Lib/site-packages/pip/_vendor/distlib,,2025-06-13T15:35:15.822546,2025-06-12T21:51:38.282147
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_vendor/distro,.venv/Lib/site-packages/pip/_vendor/distro,,2025-06-13T15:35:15.971734,2025-06-12T21:51:38.437701
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_vendor/idna,.venv/Lib/site-packages/pip/_vendor/idna,,2025-06-13T15:35:16.020037,2025-06-12T21:51:39.148528
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_vendor/msgpack,.venv/Lib/site-packages/pip/_vendor/msgpack,,2025-06-13T15:35:16.177355,2025-06-12T21:51:39.407372
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_vendor/packaging,.venv/Lib/site-packages/pip/_vendor/packaging,,2025-06-13T15:35:16.229178,2025-06-12T21:51:40.154426
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_vendor/pkg_resources,.venv/Lib/site-packages/pip/_vendor/pkg_resources,,2025-06-13T15:35:16.335682,2025-06-12T21:51:40.198785
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_vendor/platformdirs,.venv/Lib/site-packages/pip/_vendor/platformdirs,,2025-06-13T15:35:16.351447,2025-06-12T21:51:40.630670
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_vendor/pygments,.venv/Lib/site-packages/pip/_vendor/pygments,,2025-06-13T15:35:16.422879,2025-06-12T21:51:44.231870
directory,/mnt/c/Users/slick/OneDrive/Desktop/slick_ai_system/.venv/Lib/site-packages/pip/_vendor/pyproject_hooks,.venv/Lib/site-packages/pip/_vendor/pyproject_hooks,,2025-06-13T15:35:16.686358,2025-06-12T21:51:44.805523
